sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
164351,1685876400,6.80,7.60,58,66.4,1019.886
164351,1685857800,2.10,2.40,59,64,1021.168
164351,1685878800,8.10,8.80,60.8,60.8,1019.712
164351,1685877600,7.40,8.70,59,64.2,1019.712
164351,1685885400,6.40,7.50,65.4,46,1018.926
164351,1685883600,6.80,7.70,64.6,49.2,1019.338
164351,1685898000,1.20,1.50,70.6,34.4,1018.32
164351,1685884800,6.70,7.70,65.2,46.8,1019.122
164351,1685871600,3.80,4.00,55,67,1020.186
164351,1685880000,7.90,8.40,61.6,57.4,1019.706
164351,1686026400,40.70,44.60,67,50,1009.696
164351,1686040800,39.40,43.50,62,57,1008.278
164351,1686054000,53.00,60.50,66.4,49.6,1007.316
164351,1686034200,38.20,42.80,63.4,55.6,1008.712
164351,1686022800,40.80,43.70,68,47,1010.392
164351,1686020400,38.00,40.30,69,44,1010.482
164351,1686010200,10.40,10.80,75.6,37.2,1009.96
164351,1686023400,41.40,44.10,67.8,47,1010.188
164351,1686014400,22.20,23.20,72.4,42,1010.668
164351,1686012600,15.10,16.80,73.6,39.8,1010.354
164351,1686042000,39.20,44.80,61,58.2,1008.248
164351,1685990400,3.20,3.70,82.6,28.8,1010.57
164351,1685967600,2.40,2.70,64.8,56.4,1015.71
164351,1685923200,1.70,2.10,68,40.6,1018.348
164351,1685987400,3.00,3.40,84,27,1011.298
164351,1685940000,2.40,3.00,64,52,1016.912
164351,1685954400,2.00,2.30,59,62,1015.994
164351,1685935200,1.60,2.00,65,48,1017.638
164351,1685951400,1.90,2.30,60.6,58.6,1015.9
164351,1685983200,2.80,3.00,82,29,1012.318
164351,1685947200,1.80,2.00,62.6,54,1016.05
164351,1685943600,2.20,2.40,64,53.2,1016.646
164351,1685994000,3.20,3.70,85.8,26.6,1009.948
164351,1685936400,2.30,2.60,65,49,1017.27
164351,1685959200,2.40,2.70,59,64,1016.156
164351,1685938200,2.50,2.80,64,51,1016.95
164351,1685952600,1.70,2.10,60,60,1015.99
164351,1685939400,2.50,2.90,64,52,1016.85
164351,1686002400,9.90,10.70,82.2,27.8,1009.73
164351,1685945400,1.80,1.90,64,51.2,1016.304
164351,1685962200,2.60,2.80,61,61.6,1016.128
164351,1685985000,3.20,3.40,84.2,26.8,1011.852
164351,1685926800,1.70,2.00,67,42,1018.216
164351,1685991600,3.10,3.50,83.8,28.2,1010.17
164351,1685803800,5.50,6.60,66,66,1019.166
164351,1685823000,2.00,2.30,73,49.8,1019.22
164351,1685822400,2.00,2.40,73.4,49.2,1019.26
164351,1685821800,1.90,2.20,74,49,1019.212
164351,1685804400,4.50,5.10,66.2,65.2,1019.194
164351,1685828400,1.00,1.20,70.4,51.6,1019.668
164351,1685796600,4.00,4.10,66,61.6,1018.11
164351,1685827800,1.10,1.00,71.2,51,1019.436
